100
99
0,1,1
1,2,1
1,3,3
0,3,3
1,4,3
3,5,3
4,5,1
4,6,3
1,6,5
4,7,4
5,7,3
3,7,4
4,8,5
6,8,3
2,8,6
7,9,3
6,9,3
8,10,3
3,10,7
7,11,5
1,11,10
2,12,11
6,12,7
4,12,8
2,13,12
7,13,7
8,13,6
10,13,4
11,13,2
9,14,5
3,15,13
9,15,7
13,15,3
1,15,14
10,16,7
14,16,2
0,17,18
10,17,8
15,17,2
15,18,4
3,18,15
3,19,17
17,19,3
8,19,11
2,20,19
3,20,18
16,20,5
18,20,3
14,20,6
10,21,12
13,21,9
17,21,4
14,22,9
20,22,3
1,22,21
11,23,13
21,23,3
1,23,22
13,24,12
22,24,3
12,24,12
22,25,4
23,25,3
11,25,14
9,26,18
13,26,14
23,26,4
24,26,3
2,26,24
7,27,21
25,27,3
15,27,12
4,28,25
17,28,12
26,28,3
12,28,16
16,29,14
17,29,13
18,29,12
27,29,3
19,29,10
9,30,22
17,30,14
16,30,14
22,31,10
28,31,4
25,31,6
28,32,4
2,33,32
6,33,28
28,33,6
30,33,4
31,33,3
10,33,23
21,34,14
28,34,7
16,34,18
11,35,25
24,35,12
29,35,7
33,35,3
16,35,19
28,36,9
30,36,7
33,36,4
1,36,35
2,37,36
22,37,16
27,37,11
32,37,6
34,37,4
35,37,3
14,37,23
9,38,30
36,38,2
26,39,14
28,39,12
31,39,9
32,39,8
33,39,6
0,40,41
36,40,5
37,40,4
38,40,3
34,40,6
33,41,9
39,41,3
25,41,16
15,42,27
35,43,9
40,43,4
41,43,3
23,43,20
35,44,10
38,44,7
5,44,39
3,45,43
43,45,3
7,45,38
34,46,13
42,46,5
44,46,3
13,46,33
35,47,13
36,47,12
44,47,4
0,47,47
42,48,7
43,48,6
44,48,5
5,48,43
2,49,48
41,49,9
24,49,25
1,50,50
22,50,29
35,50,16
47,50,4
48,50,3
14,50,36
22,51,30
35,51,17
39,51,13
45,51,7
46,51,6
48,51,4
44,51,7
45,52,8
48,52,5
50,52,3
4,52,48
20,53,34
29,53,25
32,53,22
43,53,11
51,53,3
2,53,51
51,54,4
33,54,21
35,55,21
46,55,10
53,55,3
22,55,33
54,56,3
44,56,12
44,57,14
52,57,6
54,57,4
31,57,26
48,58,11
56,58,3
23,58,35
41,59,19
50,59,10
56,59,4
7,59,52
14,60,47
32,60,29
35,60,26
43,60,18
56,60,5
6,60,54
19,61,43
44,61,18
48,61,14
59,61,3
18,61,43
55,62,8
56,62,7
59,62,4
50,62,12
58,63,6
60,63,4
9,63,54
3,64,62
49,64,16
54,64,11
57,64,8
61,64,4
33,64,31
16,65,50
50,65,16
60,65,6
62,65,4
63,65,3
14,65,51
27,66,40
30,66,37
32,66,35
42,66,25
52,66,15
64,66,3
11,66,55
45,67,23
63,67,5
62,67,5
40,68,29
65,68,4
66,68,3
52,68,16
41,69,29
59,69,11
64,69,6
66,69,4
67,69,3
44,69,25
2,70,69
50,70,21
57,70,14
66,70,5
68,70,3
12,70,58
34,71,38
61,71,11
66,71,6
35,71,36
7,72,66
36,72,37
48,72,25
52,72,21
68,72,5
69,72,4
22,72,50
43,73,31
61,73,13
71,73,3
52,73,21
37,74,38
54,74,21
55,74,20
6,74,68
35,75,41
58,75,18
73,75,3
48,75,27
18,76,59
29,76,48
47,76,30
59,76,18
13,76,63
22,77,56
34,77,44
44,77,34
52,77,26
60,77,18
19,77,58
25,78,54
41,78,38
57,78,22
20,78,58
22,79,58
34,79,46
42,79,38
70,79,10
15,79,64
45,80,36
51,80,30
52,80,29
56,80,25
78,80,3
17,80,63
78,81,4
79,81,3
74,81,7
22,82,61
43,82,40
47,82,36
65,82,18
70,82,13
73,82,10
76,82,7
78,82,5
79,82,4
28,82,54
33,83,51
69,83,15
76,83,8
80,83,4
81,83,3
16,83,67
6,84,79
15,84,70
34,84,51
76,84,9
77,84,8
79,84,6
82,84,3
5,84,79
35,85,51
44,85,42
68,85,18
69,85,17
77,85,9
55,85,30
24,86,63
31,86,56
50,86,37
67,86,20
71,86,16
74,86,13
81,86,6
84,86,3
60,86,26
0,87,88
63,87,25
77,87,11
82,87,6
39,87,48
81,88,8
69,88,19
63,89,27
74,89,16
82,89,8
87,89,3
0,89,89
49,90,42
72,90,19
85,90,6
88,90,3
83,90,7
86,91,6
89,91,3
13,91,78
15,92,78
24,92,69
83,92,10
86,92,7
57,92,35
65,93,29
88,93,6
91,93,3
16,93,77
88,94,7
0,94,94
74,95,22
88,95,8
93,95,3
73,95,22
22,96,75
88,96,9
90,96,7
92,96,5
93,96,3
75,97,23
87,97,11
93,97,5
95,97,3
80,97,17
76,98,23
85,98,14
91,98,7
46,99,54
79,99,21
90,99,10
96,99,4
97,99,3
88,99,11
